"id","name","city","district","star_rating","price_per_night","available_rooms","amenities","address"
"1","六善(国贸精品店)","北京","通州区","5","1594","14","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市通州区国贸路378号"
"2","皇冠鸟巢威斯汀酒店","北京","朝阳区","5","802","12","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市朝阳区鸟巢路112号"
"3","索菲特(金融街都会店)","北京","朝阳区","5","2398","17","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市朝阳区金融街路230号"
"4","京城国贸中心华尔道夫","北京","大兴区","5","2411","20","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市大兴区国贸路143号"
"5","首都瑞吉(望京店)","北京","朝阳区","5","1076","21","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市朝阳区望京路434号"
"6","京华西单保利皇冠","北京","大兴区","5","2561","27","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市大兴区西单路64号"
"7","君澜度假(鸟巢2号店)","北京","西城区","5","964","11","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市西城区鸟巢路339号"
"8","京城王府井索菲特酒店","北京","大兴区","5","2236","18","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市大兴区王府井路233号"
"9","六善(中关村行政店)","北京","西城区","5","1773","32","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市西城区中关村路480号"
"10","卓美亚(王府井2号店)","北京","丰台区","5","1349","24","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市丰台区王府井路195号"
"11","皇冠鸟巢喜来登酒店","北京","东城区","5","1618","36","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市东城区鸟巢路17号"
"12","万达嘉华(西单3号店)","北京","朝阳区","5","1550","30","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市朝阳区西单路256号"
"13","建国铂萃(前门精品店)","北京","东城区","5","1690","33","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市东城区前门路288号"
"14","朗廷(京城金融街店)","北京","海淀区","5","1578","14","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市海淀区金融街路261号"
"15","金陵江滨(国贸旗舰店)","北京","大兴区","5","1335","35","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市大兴区国贸路349号"
"16","恒大海上(王府井4号店)","北京","海淀区","5","2847","18","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市海淀区王府井路498号"
"17","宝格丽(北京王府井店)","北京","通州区","5","2073","13","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市通州区王府井路151号"
"18","恒大海上(前门2号店)","北京","朝阳区","5","2759","39","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市朝阳区前门路55号"
"19","六善(鸟巢商务店)","北京","丰台区","5","2211","34","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市丰台区鸟巢路83号"
"20","京华朗廷(国贸店)","北京","丰台区","5","759","13","游泳池,健身房,SPA,商务中心,行政酒廊,免费WiFi,停车场,接机服务","北京市丰台区国贸路476号"
"21","希尔顿欢朋(三里屯1号店)","北京","朝阳区","4","437","51","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市朝阳区三里屯路418号"
"22","华美达(中关村2号店)","北京","东城区","4","621","53","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市东城区中关村路447号"
"23","首都鸟巢商务丽笙","北京","大兴区","4","669","45","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市大兴区鸟巢路344号"
"24","希尔顿欢朋(鸟巢旗舰店)","北京","海淀区","4","580","24","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市海淀区鸟巢路174号"
"25","京华鸟巢福朋喜来登酒店","北京","东城区","4","422","60","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市东城区鸟巢路31号"
"26","北京国贸全季旗舰酒店","北京","大兴区","4","876","35","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市大兴区国贸路143号"
"27","格兰云天(鸟巢度假店)","北京","东城区","4","834","46","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市东城区鸟巢路98号"
"28","北京豪生(五棵松店)","北京","西城区","4","828","23","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市西城区五棵松路345号"
"29","北京五棵松豪生酒店","北京","通州区","4","604","32","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市通州区五棵松路98号"
"30","中航泊悦(燕京中关村店)","北京","海淀区","4","823","35","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市海淀区中关村路448号"
"31","燕京鸟巢华美达","北京","朝阳区","4","365","25","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市朝阳区鸟巢路475号"
"32","君亭(五棵松度假店)","北京","海淀区","4","760","23","健身房,餐厅,会议室,免费WiFi,停车场,商务中心","北京市海淀区五棵松路85号"
