"id","insurance_type","name","coverage","price","duration_days","provider"
"1","旅游意外险","国内旅游意外险-基础版","意外伤害20万,意外医疗2万,紧急救援","30","7","平安保险"
"2","旅游意外险","国内旅游意外险-升级版","意外伤害50万,意外医疗5万,紧急救援,航班延误","80","15","平安保险"
"3","旅游意外险","国内旅游意外险-尊享版","意外伤害100万,意外医疗10万,紧急救援,航班延误,行李丢失","150","30","中国人寿"
"4","旅游意外险","境外旅游意外险-亚洲版","意外伤害50万,意外医疗10万,紧急救援,航班延误,证件丢失","120","15","太平洋保险"
"5","旅游意外险","境外旅游意外险-全球版","意外伤害100万,意外医疗20万,紧急救援,航班延误,行李丢失,证件丢失","280","30","太平洋保险"
"6","航班延误险","航班延误险-国内","延误2小时赔付200元,延误4小时赔付500元","20","1","众安保险"
"7","航班延误险","航班延误险-国际","延误2小时赔付500元,延误4小时赔付1000元","50","1","众安保险"
"8","自驾游保险","自驾游保险-基础版","车辆故障救援,意外伤害20万,意外医疗2万","60","7","平安保险"
"9","自驾游保险","自驾游保险-升级版","车辆故障救援,意外伤害50万,意外医疗5万,三者险50万","120","15","中国人寿"
"10","高原旅游险","高原旅游险","高原反应医疗10万,意外伤害50万,紧急救援,直升机转运","180","15","太平洋保险"
